100	5	5	5	0	3000	1000	true	true	126221 	 replication 0 	44	277,19999999999453	1372	26	23
100	5	5	5	0	3000	1000	true	true	126221 	 replication 1 	50	257,19999999999	1290	24	20
100	5	5	5	0	3000	1000	true	true	126221 	 replication 2 	22	168,4999999999947	718	6	4
100	5	5	5	0	3000	1000	true	true	126221 	 replication 3 	66	238,49999999999073	1088	18	15
100	5	5	5	0	3000	1000	true	true	126221 	 replication 4 	68	216,79999999999197	969	18	16
100	5	5	5	0	3000	1000	true	true	126221 	 replication 5 	33	221,6999999999917	916	18	12
100	5	5	5	0	3000	1000	true	true	126221 	 replication 6 	11	223,99999999999156	1077	14	10
100	5	5	5	0	3000	1000	true	true	126221 	 replication 7 	99	184,5999999999938	809	16	14
100	5	5	5	0	3000	1000	true	true	126221 	 replication 8 	88	195,39999999999318	914	12	8
100	5	5	5	0	3000	1000	true	true	126221 	 replication 9 	98	228,29999999999131	1164	19	15
100	5	5	5	0	3000	1000	true	true	126221 	 replication 10 	75	244,09999999999042	1222	19	14


